Assignment,BIEN_Number,Family,Latin,TotalObsInBIEN,nameSubmitted,nameMatched,nameMatchedScore,nameMatchedAuthor,nameMatchedUrl,,,acceptance,genusMatched,genusMatchedScore,speciesMatched,Recent Name,Old name,Invasive,Non-native,NotRare(largeRangeOrHighAbundance),RecognizedAsRare,Unresolved,Comments
d,12367,Orchidaceae,Brachystele dilatata,1,Orchidaceae Brachystele dilatata,Brachystele dilatata,1,(Lindl.) Schltr.,http://www.tropicos.org/Name/23507335 ,,,Accepted,Brachystele,1,dilatata,,,,,,Y,,
d,17428,Orchidaceae,Cattleya chocoensis,1,Orchidaceae Cattleya chocoensis,Cattleya chocoensis,1,Linden & AndrŽ,http://www.tropicos.org/Name/23518927 ,,,No opinion,Cattleya,1,chocoensis,,,,,,Y,,
d,23273,Orchidaceae,Coryanthes horichiana,1,Orchidaceae Coryanthes horichiana,Coryanthes horichiana,1,Jenny,http://www.tropicos.org/Name/23519208 ,,,No opinion,Coryanthes,1,horichiana,,,,,,Y,,
d,26017,Orchidaceae,Cyclopogon ellipticus,2,Orchidaceae Cyclopogon ellipticus,Cyclopogon ellipticus,1,(Garay) Dodson,http://www.tropicos.org/Name/100175327 ,,,Accepted,Cyclopogon,1,ellipticus,,,,,,Y,,
d,26022,Orchidaceae,Cyclopogon longibracteatus,2,Orchidaceae Cyclopogon longibracteatus,Cyclopogon longibracteatus,1,(Barb. Rodr.) Schltr.,http://www.tropicos.org/Name/23519335 ,,,Accepted,Cyclopogon,1,longibracteatus,,,,,,Y,,
d,28154,Orchidaceae,Dichaea anchorifera,3,Orchidaceae Dichaea anchorifera,Dichaea anchorifera,1,Cogn.,http://www.tropicos.org/Name/23519552 ,,,Accepted,Dichaea,1,anchorifera,,,,,,Y,,
d,32586,Orchidaceae,Encyclia spondiada,1,Orchidaceae Encyclia spondiada,Encyclia spondiada,1,(Rchb. f.) Dressler,http://www.tropicos.org/Name/23503408 ,,,Accepted,Encyclia,1,spondiada,,,,,,Y,,
d,32896,Orchidaceae,Epidendrum calacaliense,1,Orchidaceae Epidendrum calacaliense,Epidendrum calacaliense,1,H‡gsater & Dodson,http://www.tropicos.org/Name/50213772 ,,,Accepted,Epidendrum,1,calacaliense,,,,,,Y,,
d,33066,Orchidaceae,Epidendrum hagsateri,1,Orchidaceae Epidendrum hagsateri,Epidendrum hagsateri,1,Christenson,http://www.tropicos.org/Name/50115348 ,,,Accepted,Epidendrum,1,hagsateri,,,,,,Y,,
d,33099,Orchidaceae,Epidendrum inornatum,1,Orchidaceae Epidendrum inornatum,Epidendrum inornatum,1,Schltr.,http://www.tropicos.org/Name/23510486 ,,,Accepted,Epidendrum,1,inornatum,,,,,,Y,,
d,33409,Orchidaceae,Epidendrum scutella,2,Orchidaceae Epidendrum scutella,Epidendrum scutella,1,Lindl.,http://www.tropicos.org/Name/23506670 ,,,Accepted,Epidendrum,1,scutella,,,,,,Y,,
d,40042,Orchidaceae,Gongora amparoana,1,Orchidaceae Gongora amparoana,Gongora amparoana,1,Schltr.,http://www.tropicos.org/Name/23515418 ,,,No opinion,Gongora,1,amparoana,,,,,,Y,,
d,41647,Orchidaceae,Habenaria hondurensis,1,Orchidaceae Habenaria hondurensis,Habenaria hondurensis,1,Ames,http://www.tropicos.org/Name/23515433 ,,,No opinion,Habenaria,1,hondurensis,,,,,,Y,,
d,42781,Orchidaceae,Helonoma chiropterae,1,Orchidaceae Helonoma chiropterae,Helonoma chiropterae,1,(Szlach.) Carnevali & G.A. Romero-Gonzalez,http://www.tropicos.org/Name/50226769 ,,,Accepted,Helonoma,1,chiropterae,,,,,,Y,,
d,49510,Orchidaceae,Lepanthes maduroi,1,Orchidaceae Lepanthes maduroi,Lepanthes maduroi,1,Luer,http://www.tropicos.org/Name/23503557 ,,,Accepted,Lepanthes,1,maduroi,,,,,,Y,,
