Assignment,BIEN_Number,Family,Latin,TotalObsInBIEN,nameSubmitted,nameMatched,nameMatchedScore,nameMatchedAuthor,nameMatchedUrl,,,acceptance,genusMatched,genusMatchedScore,speciesMatched,Recent Name,Old name,Invasive,Non-native,NotRare(largeRangeOrHighAbundance),RecognizedAsRare,Unresolved,Comments
MO,38739,Gesneriaceae,Gasteranthus fuscilimbus,3,Gesneriaceae Gasteranthus fuscilimbus,Gasteranthus fuscilimbus,1,L.E. Skog & L.P. Kvist,http://www.tropicos.org/Name/50079463 ,,,No opinion,Gasteranthus,1,fuscilimbus,,,,,,,yes,"unpublished name, has no status"
MO,96347,Gesneriaceae,Vanhouttea pendula,1,Gesneriaceae Vanhouttea pendula,Vanhouttea pendula,1,Chautems,http://www.tropicos.org/Name/100002031 ,,,Accepted,Vanhouttea,1,pendula,,,,,,Yes,,brazil
MO,23301,Hamamelidaceae,Corylopsis sinensis,2,Hamamelidaceae Corylopsis sinensis,Corylopsis sinensis,1,Hemsl.,http://www.tropicos.org/Name/15100047 ,,,Accepted,Corylopsis,1,sinensis,,,,yes,,,,"china, cult elsewhere"
MO,87796,Hernandiaceae,Sparattanthelium wonotoboense,3,Hernandiaceae Sparattanthelium wonotoboense,Sparattanthelium wonotoboense,1,Kosterm.,http://www.tropicos.org/Name/50154956 ,,,Accepted,Sparattanthelium,1,wonotoboense,,,,,yes,,,"guyana, french guiana, brazil"
MO,26320,Iridaceae,Cypella laeta,1,Iridaceae Cypella laeta,Cypella laeta,1,Ravenna,http://www.tropicos.org/Name/16602830 ,,,Accepted,Cypella,1,laeta,,,,,,yes,,argentina
MO,2784,Lamiaceae,Ajuga genevensis,1,Lamiaceae Ajuga genevensis,Ajuga genevensis,1,L.,http://www.tropicos.org/Name/17600013 ,,,Accepted,Ajuga,1,genevensis,,,,,yes,,,"usa, canada, and possibly old world"
MO,45290,Lamiaceae,Hyptis australis,2,Lamiaceae Hyptis australis,Hyptis australis,1,Epling,http://www.tropicos.org/Name/50173166 ,,,Accepted,Hyptis,1,australis,,,,,,Yes,,argentina
MO,82072,Lamiaceae,Salvia psilostachya,1,Lamiaceae Salvia psilostachya,Salvia psilostachya,1,Epling,http://www.tropicos.org/Name/17602092 ,,,Accepted,Salvia,1,psilostachya,,,,,,Yes,,peru
MO,61156,Lauraceae,Nectandra canaliculata,1,Lauraceae Nectandra canaliculata,Nectandra canaliculata,1,Rohwer,http://www.tropicos.org/Name/17806194 ,,,Accepted,Nectandra,1,canaliculata,,,,,,Yes,,ecuador
MO,79500,Lauraceae,Rhodostemonodaphne frontinensis,2,Lauraceae Rhodostemonodaphne frontinensis,Rhodostemonodaphne frontinensis,1,Madri–‡n,http://www.tropicos.org/Name/50095779 ,,,No opinion,Rhodostemonodaphne,1,frontinensis,,,,,,Yes,,colombia
MO,50778,Liliaceae,Lilium pyrophilum,1,Liliaceae Lilium pyrophilum,Lilium pyrophilum,1,M.W. Skinner & Sorrie,http://www.tropicos.org/Name/50186198 ,,,Accepted,Lilium,1,pyrophilum,,,,,,yes,,usa
MO,50878,Linderniaceae,Lindernia antipoda,3,Linderniaceae Lindernia antipoda,Lindernia antipoda,1,(L.) Alston,http://www.tropicos.org/Name/29200076 ,,,Accepted,Lindernia,1,antipoda,,,,,yes,,,in panam and widespread in old world
MO,11525,Loasaceae,Blumenbachia dissecta,1,Loasaceae Blumenbachia dissecta,Blumenbachia dissecta,1,Weigend & Grau,http://www.tropicos.org/Name/100298752 ,,,Accepted,Blumenbachia,1,dissecta,,,,,,yes,,argentina
MO,14087,Loasaceae,Cajophora scarlatina,1,Loasaceae Cajophora scarlatina,Cajophora scarlatina,1,Urb. & Gilg,http://www.tropicos.org/Name/18900308 ,,,No opinion,Cajophora,1,scarlatina,,yes,,,,,,correct name is Caiophora scarlatina Urb. & Gilg
MO,90191,Loganiaceae,Strychnos acuta,2,Loganiaceae Strychnos acuta,Strychnos acuta,1,Progel,http://www.tropicos.org/Name/19000388 ,,,Accepted,Strychnos,1,acuta,,,,,,yes,,brazil
MO,90234,Loganiaceae,Strychnos odorata,2,Loganiaceae Strychnos odorata,Strychnos odorata,1,A. Chev.,http://www.tropicos.org/Name/50103890 ,,,Accepted,Strychnos,1,odorata,,,,yes,,,,africa
MO,25424,Lythraceae,Cuphea roseana,1,Lythraceae Cuphea roseana,Cuphea roseana,1,Koehne,http://www.tropicos.org/Name/19200592 ,,,Accepted,Cuphea,1,roseana,,,,,,yes,,mexico
